date,count,year,month,NAME,state,age_under_5,age_5_9,age_10_19,age_20_29,age_30_39,age_40_49,age_50_59,age_60_69,age_70_79,age_80_84,age_85_plus,total_population,age_60_69_ratio,Month,AvgTemp,MinTemp,MaxTemp,Precip,HeatingDegreeDays,CoolingDegreeDays,age_under_5_ratio,age_5_9_ratio,age_10_19_ratio,age_20_29_ratio,age_30_39_ratio,age_40_49_ratio,age_50_59_ratio,age_70_79_ratio,age_80_84_ratio,age_85_plus_ratio
2020-04-01,75.0,2020,4,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"April, 2020",37.7,27.9,47.5,4.17,749.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-05-01,134.0,2020,5,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"May, 2020",51.2,38.7,63.6,2.62,384.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-06-01,142.0,2020,6,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"June, 2020",62.5,50.1,74.9,2.29,75.0,35.0,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-07-01,137.0,2020,7,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"July, 2020",68.9,58.6,79.2,3.85,10.0,160.0,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-08-01,152.0,2020,8,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"August, 2020",65.6,54.4,76.8,2.81,32.0,110.0,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-09-01,169.0,2020,9,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"September, 2020",56.8,44.7,69.0,1.0,187.0,7.0,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-10-01,132.0,2020,10,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"October, 2020",44.7,35.6,53.7,6.12,555.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-11-01,131.0,2020,11,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"November, 2020",37.0,28.0,46.0,3.83,763.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2020-12-01,104.0,2020,12,,23.0,61923.5,66973.5,150278.5,156550.5,167231.5,159272.5,194670.0,204664.5,133257.0,31550.5,11263.5,1358229.5,0.15068477013641657,"December, 2020",27.2,20.4,34.1,5.33,1082.0,,0.045591337840917165,0.04930941346804792,0.11064293626371685,0.1152607125673533,0.12312462658188472,0.11726479214300677,0.1433262935313951,0.09811081264248789,0.023229137638374076,0.008292781153700461
2021-01-01,130.0,2021,1,Maine,23.0,61034.0,69073.0,149478.0,156639.0,174806.0,158475.0,194658.0,208309.0,139081.0,31632.0,11472.0,1372247.0,0.15180138852553512,"January, 2021",21.4,14.9,28.0,1.89,1240.0,,0.0444774155090155,0.050335690294823016,0.10892936912961004,0.11414781741187993,0.1273866876735748,0.11548576896141875,0.1418534709859085,0.10135274480468895,0.023051243690093693,0.008360010989275255
